,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Gannan,30,CN,1601447133,42,47.91,123.5,288.53,2.21
1,Bengkulu,48,ID,1601447133,55,-3.8,102.27,304.5,5.39
2,Khatanga,99,RU,1601447133,95,71.97,102.5,272.35,7.3
3,Ostrovnoy,3,RU,1601446865,78,68.05,39.51,281.91,6.86
4,George Town,40,MY,1601446878,79,5.41,100.34,303.15,2.6
5,Bambanglipuro,72,ID,1601447134,49,-7.95,110.28,304.26,6.92
6,Rikitea,55,PF,1601447134,79,-23.12,-134.97,294.33,10.13
7,Avera,1,US,1601446887,67,33.19,-82.53,287.15,3.6
8,Castro,25,BR,1601447135,93,-24.79,-50.01,289.14,1.5
9,Busselton,100,AU,1601447135,79,-33.65,115.33,290.93,3.58
10,Hobart,75,AU,1601446998,55,-42.88,147.33,290.37,7.7
11,Bluff,94,NZ,1601447136,83,-46.6,168.33,283.15,3.13
12,East London,0,ZA,1601447136,59,-33.02,27.91,289.15,3.6
13,Albany,90,US,1601447136,100,42.6,-73.97,287.04,1.5
14,Broken Hill,54,AU,1601447051,42,-31.95,141.43,293.15,8.2
15,Mar del Plata,29,AR,1601446872,87,-38.0,-57.56,285.15,4.6
16,Ponta Delgada,75,PT,1601446953,72,37.73,-25.67,292.15,2.6
17,Great Falls,1,US,1601446899,54,47.5,-111.3,285.15,5.1
18,Nikolskoye,90,RU,1601447138,87,59.7,30.79,285.15,2.0
19,Tasiilaq,98,GL,1601447138,80,65.61,-37.64,272.15,0.5
20,Cockburn Town,86,TC,1601446974,78,21.46,-71.14,302.22,7.92
21,Punta Arenas,90,CL,1601447139,86,-53.15,-70.92,274.15,6.2
22,Koumac,26,NC,1601447139,66,-20.57,164.28,294.9,8.51
23,Avarua,32,CK,1601447139,88,-21.21,-159.78,297.15,8.7
24,Villamar,98,MX,1601447140,80,20.02,-102.6,286.73,1.25
25,Faya,0,SA,1601447140,22,18.39,42.45,298.15,2.1
26,Atuona,2,PF,1601447140,75,-9.8,-139.03,299.11,9.94
27,Lompoc,90,US,1601446937,93,34.64,-120.46,287.15,3.64
28,Ningxiang,100,CN,1601447141,67,37.34,111.21,290.37,3.56
29,Butaritari,45,KI,1601447141,75,3.07,172.79,301.23,4.93
30,Tiksi,100,RU,1601447141,95,71.69,128.87,274.06,5.6
31,Murud,27,IN,1601447122,69,18.33,72.97,301.9,1.59
32,Thompson,75,CA,1601447142,100,55.74,-97.86,280.15,2.6
33,Chegutu,55,ZW,1601447143,61,-18.13,30.14,295.84,4.97
34,Ushuaia,75,AR,1601447143,94,-54.8,-68.3,273.15,7.7
35,Guiyang,90,CN,1601447144,72,26.58,106.72,293.15,2.0
36,Oban,100,GB,1601447144,93,56.41,-5.47,285.93,0.45
37,Tuktoyaktuk,75,CA,1601447145,93,69.45,-133.04,276.15,1.0
38,Saint-Philippe,35,RE,1601447145,57,-21.36,55.77,299.15,3.1
39,Jamestown,90,US,1601446892,100,42.1,-79.24,283.71,2.1
40,Port Alfred,4,ZA,1601447146,60,-33.59,26.89,288.81,5.44
41,Tulsīpur,15,NP,1601447146,62,28.13,82.3,302.22,1.89
42,Belmonte,40,BR,1601447146,94,-15.86,-38.88,294.15,1.5
43,Roald,20,NO,1601447147,100,62.58,6.13,283.15,3.6
44,Kapaa,1,US,1601447147,74,22.08,-159.32,299.15,1.5
45,Aklavik,20,CA,1601447148,86,68.22,-135.01,276.15,2.1
46,Bafoulabé,27,ML,1601447148,79,13.81,-10.83,298.5,1.05
47,Palmer,90,US,1601447148,94,42.16,-72.33,295.15,4.1
48,San Cristobal,98,VE,1601447149,82,7.77,-72.22,291.6,1.4
49,Cayenne,92,GF,1601447149,100,4.93,-52.33,297.15,2.69
50,Esperance,18,AU,1601447149,56,-33.87,121.9,295.15,4.6
51,Callaway,1,US,1601447150,77,30.15,-85.57,289.15,2.85
52,De Aar,0,ZA,1601447150,33,-30.65,24.01,285.41,2.3
53,Ahipara,36,NZ,1601447150,69,-35.17,173.17,285.85,3.51
54,Oudtshoorn,20,ZA,1601447151,76,-33.59,22.2,284.15,1.5
55,Salem,75,IN,1601446855,70,11.65,78.17,302.15,1.0
56,Yellowknife,20,CA,1601447043,100,62.46,-114.35,276.48,3.1
57,Nome,90,US,1601447151,86,64.5,-165.41,277.15,2.21
58,Alofi,49,NU,1601447152,88,-19.06,-169.92,298.15,2.6
59,Kahului,40,US,1601447152,69,20.89,-156.47,300.15,4.6
60,Bethel,100,US,1601446970,98,41.37,-73.41,294.26,0.89
61,Mataura,100,NZ,1601447153,83,-46.19,168.86,283.15,3.13
62,Srednekolymsk,98,RU,1601447153,77,67.45,153.68,282.04,2.03
63,Hilo,20,US,1601447154,78,19.73,-155.09,299.15,2.1
64,Mount Isa,40,AU,1601447154,14,-20.73,139.5,309.15,3.1
65,Les Cayes,100,HT,1601447154,78,18.2,-73.75,300.02,2.74
66,Grand Gaube,82,MU,1601447155,70,-20.01,57.66,297.59,3.13
67,Cabo San Lucas,0,MX,1601447067,69,22.89,-109.91,300.93,0.67
68,Kiryat Gat,0,IL,1601446983,89,31.61,34.76,299.82,2.29
69,Fredericksburg,90,US,1601447121,100,38.3,-77.46,286.15,1.5
70,Severo-Kuril'sk,77,RU,1601447156,77,50.68,156.12,284.97,3.21
71,Saint-Augustin,81,CA,1601447156,90,51.23,-58.65,288.18,8.54
72,Klaksvík,97,FO,1601447156,93,62.23,-6.59,283.15,13.4
73,Upernavik,80,GL,1601447157,90,72.79,-56.15,268.36,4.3
74,Sennar,83,SD,1601447157,64,13.57,33.57,301.69,6.24
75,Fairbanks,1,US,1601446995,65,64.84,-147.72,280.15,3.6
76,Jijiga,100,ET,1601447158,76,9.35,42.8,292.56,4.67
77,Hermanus,40,ZA,1601447158,84,-34.42,19.23,284.82,0.89
78,Ribeira Grande,20,PT,1601447159,82,38.52,-28.7,289.15,2.1
79,Bay Roberts,22,CA,1601447159,1,47.6,-53.26,291.48,5.41
80,Vaini,75,TO,1601446949,94,-21.2,-175.2,298.15,5.7
81,Saint-Joseph,19,RE,1601447160,57,-21.37,55.62,299.15,3.1
82,Abu Dhabi,0,AE,1601447063,17,24.47,54.37,308.15,5.1
83,Kamenka,100,RU,1601447160,41,51.32,42.77,287.04,0.89
84,Montrose,1,US,1601446888,39,38.42,-108.27,283.15,3.6
85,Qaanaaq,0,GL,1601447161,78,77.48,-69.36,263.24,3.13
86,Nemuro,75,JP,1601447161,77,43.32,145.57,288.15,3.6
87,Westport,90,US,1601447162,94,41.14,-73.36,295.15,6.2
88,Cape Town,27,ZA,1601446889,71,-33.93,18.42,288.71,1.5
89,Dikson,100,RU,1601447163,81,73.51,80.55,275.31,5.47
90,Tay Ninh,85,VN,1601447163,60,11.3,106.1,305.3,3.34
91,Karaton,20,ID,1601447164,55,-6.34,106.1,306.15,7.2
92,Thinadhoo,100,MV,1601447164,72,0.53,72.93,301.87,3.48
93,Malanje,100,AO,1601447165,92,-9.54,16.34,291.42,1.25
94,Saint George,1,US,1601447165,14,37.1,-113.58,293.71,2.1
95,Pangnirtung,0,CA,1601447165,86,66.15,-65.71,269.66,2.73
96,Jumla,19,NP,1601447165,89,29.27,82.18,289.82,1.34
97,Kedrovyy,40,RU,1601447166,64,56.17,91.82,276.15,3.0
