Latitude,Longitude,City,Country,Hotel
31.76,13.99,Bani Walid,LY,فندق الزيتونة
30.33,10.85,Nālūt,LY,
31.61,34.76,Kiryat Gat,IL,
29.82,31.05,Madīnat Sittah Uktūbar,EG,
-11.38,43.28,Mitsamiouli,KM,Al Camar Lodge
32.12,20.07,Benghazi,LY,Ishbiliyah Beach Hotel
29.03,21.55,Jalu,LY,Jalu Hotel
-23.7,133.88,Alice Springs,AU,DoubleTree by Hilton Hotel Alice Springs
23.67,-100.18,Doctor Arroyo,MX,HOTEL LOS PINOS
-21.64,-41.05,São João da Barra,BR,Pousada Porto Prime
26.33,43.98,Buraidah,SA,Mövenpick Hotel Qassim
20.93,-17.03,Nouadhibou,MR,Free Zone Hotel Nouadhibou
-15.86,27.75,Mazabuka,ZM,Royal Laricio
