Latitude,Longitude,City,Country,Hotel
-24.87,113.63,Carnarvon,AU,Carnarvon Sea Change Apartments
32.32,121.19,Juegang,CN,Rudong Haizhou Hotel
15.75,-87.55,Tornabé,HN,Cabañas Laguna Beach
-9.56,-48.4,Miracema do Tocantins,BR,Miracema Palace Hotel
-28.77,114.6,Geraldton,AU,The Gerald Apartment Hotel
27.98,-114.06,Guerrero Negro,MX,Hotel Los Caracoles
29.13,15.95,Hūn,LY,Alrwasi Hotel
32.53,20.58,Tūkrah,LY,Ficqa Base
30.57,79.57,Joshīmath,IN,The Tattva Resort
20.93,-17.03,Nouadhibou,MR,Free Zone Hotel Nouadhibou
-28.02,18.75,Karasburg,NA,U&K Bed & Breakfast
